cuisine,location,name,price,ratings,tags
"Japanese,Sushi,Continental,Asian,North Indian", 2802| 27th Main Road| Sector 1| HSR| Bangalore,Broadway - The Gourmet Theatre,1800.0,"4.4,4.4","Casual Dining,Bar"
"Chinese,Tibetan", 50/1|  Near Jyothi Nivas College| Koramangala 5th Block| Bangalore,Khawa Karpo,350.0,"4.4,4.3",Quick Bites
"Mexican,Healthy Food,American,Salad,Continental,Beverages", 1668/A| 14th Main Road| Sector 7| HSR| Bangalore,California Burrito,500.0,"4.3,4.4",Quick Bites
"American,Continental,Bar Food,Burger,Beverages", 20| Castle Street| Ashok Nagar| Brigade Road| Bangalore,Plan B,1300.0,4.4,"Casual Dining,Pub"
"Cafe,Healthy Food,Salad", 2212| HAL 3rd Stage| 80 Feet Road| Indiranagar| Bangalore,Flax,700.0,"4.2,4.5",Café
"Cafe,German,Italian", 54 MSK Plaza| 2nd Floor| Defence Colony| 100 Feet Road| Indiranagar| Bangalore,Cafe Max,1300.0,4.4,"Café,Casual Dining"
"Japanese,Sushi", 131| 4th Floor| Devatha Plaza| Residency Road| Bangalore,Harima,2000.0,4.4,Casual Dining
"Mithai,Street Food", 2| Santosh Towers| Bassapa Layout| Sanjay Nagar| Bangalore,Kanti Sweets,500.0,4.4,Sweet Shop
North Indian, Delivery Only,Paratha Center,400.0,4.4,
"Asian,Chinese,Thai,Seafood,Fast Food", Delivery Only,EAT - East Asian Treats,550.0,4.4,
"Coffee,Beverages", 38/3| RV Rao| Basavanagudi| Bangalore,Slay Coffee,300.0,4.4,
"Tea,Fast Food", 982| Ground Floor| 1st Main Road| Koramangala 1st Block| Bangalore,The Tea Brewery,150.0,4.4,Beverage Shop
"Ice Cream,Desserts", 278| 1st Cross| Hoodi| Opposite Ganesha Temple| Mahadevpura| Whitefield| Bangalore,Apsara Ice Creams,400.0,4.4,
"North Indian,Continental,Chinese,Beverages", ITPL Main Road| KIADB Export Promotion Industrial Area| Whitefield| Bangalore,The Creek - The Den Bengaluru,2000.0,4.4,Casual Dining
"Continental,North Indian,Asian,Pizza,Modern Indian", 599/448/338/1 To 4| Bilekahalli Dorasani Palya| 4th Floor| Big Bazar| Bannerghatta Road| Bangalore,The Yellow Submarine,1500.0,4.4,"Microbrewery,Casual Dining"
"Continental,North Indian,Asian,Pizza,Modern Indian", 599/448/338/1 To 4| Bilekahalli Dorasani Palya| 4th Floor| Big Bazar| Bannerghatta Road| Bangalore,The Yellow Submarine,1500.0,4.4,"Microbrewery,Casual Dining"
"Asian,Continental,North Indian,Malaysian,Italian", 153| Hagadur Main Road| Whitefield| Bangalore,153 Biere Street,1700.0,4.4,"Casual Dining,Microbrewery"
"Continental,Mexican,Italian,Desserts,Beverages", 139\/28| Off Intermediate Ring Road| Opposite Embassy Golf Links| Domlur| Bangalore,Murphy's Brewhouse - The Paul Bangalore,1700.0,4.4,"Microbrewery,Casual Dining"
"Italian,European,Continental,Salad,Beverages", 2nd Floor| UB City| Vittal Mallya Road| Lavelle Road| Bangalore,Toscano,2400.0,"4.5,4.2",Casual Dining
"Cafe,Continental,Asian,Italian,North Indian", 12| 1st Main Road| Industrial Layout| Koramangala 5th Block| Bangalore,The Hobbit Cafe,800.0,4.4,"Café,Casual Dining"
"Beverages,South Indian,Fast Food", 1160| 3rd Stage| Nehru Nagar| BEML Layout| Rajarajeshwari Nagar| Bangalore,Kaapi Katte,150.0,4.4,Quick Bites
"American,Italian,Desserts", 1| Brunton Road| 1st Cross| Ashok Nagar| MG Road| Bangalore,Portland Steakhouse & Cafe,1500.0,"4.5,4.2",Casual Dining
"Seafood,Mangalorean", 322/1| 1st Floor| CMH Road| Indiranagar| Bangalore,Maravanthe,1100.0,"4.5,4.3",Casual Dining
"African,Burger,Fast Food,Beverages,Desserts", 120| Ground Floor| EPIP Zone| Near BMTC Bus Depot| Whitefield| Bangalore,Galito's,1100.0,"4.4,4.4",Casual Dining
"Desserts,Bakery", 169/25| 10| 1st Floor| Munichanamma Industrial Estate| 5th Main| Chunchagutte Main Road| Yelachenahalli| Near Kanakapura Road| Bangalore,Gooeylty Brownies,250.0,4.4,
"Desserts,Ice Cream,Bakery,Fast Food", Trifecta Adatto| 21| ITPB Main Road| Garudachar Palya| Mahadevapura| Whitefield| Bangalore,Polar Bear,300.0,4.4,
"Steak,Continental,Italian,American,Seafood", 305| Nehru Road| Kammanahalli| Bangalore,Connie's Restaurant & Steakhouse,1500.0,"4.6,4.2",Casual Dining
"Beverages,Ice Cream", 348| 4th Cross| OMBR Main Road| Banaswadi| Bangalore,Lassi Shop,200.0,4.4,Beverage Shop
"Healthy Food,North Indian", 21/1| 1st Floor| 2nd Sector| 27th Main| Near Charcoal Museum| HSR| Bangalore,Khichdi Experiment By Ola Foods,350.0,4.4,
"North Indian,Mughlai", ITC Windsor| 25 Windsor Square| Sankey Road| Bangalore,Royal Afghan - ITC Windsor,6000.0,4.4,Fine Dining
"North Indian,Mughlai,Desserts", JW Marriott| 24/1| Vittal Mallya Road| Lavelle Road| Bangalore,Spice Terrace - JW Marriott,3000.0,4.4,Fine Dining
"North Indian,Mughlai,Beverages", Lower Ground| Forum Shantiniketan Mall| ITPL Main Road| Whitefield| Bangalore,Achaar,1600.0,4.4,Casual Dining
"Mangalorean,Seafood", 3| Coles Road| Frazer Town| Bangalore,Mangalore Pearl - Seafood Restaurant,700.0,"4.6,4.2",Casual Dining
Bakery, Skyline Beverly Park| Amruthahalli Main Road| Hebbal| Bangalore,Frosted Memories,200.0,4.4,Bakery
Bakery, Opposite Mantri Alpyne| Uttarahalli| Bangalore,Cake Stop,300.0,4.4,
"European,Continental,Chinese,Thai", 1| Residency Road| Bangalore,Cubbon Pavilion - ITC Gardenia,2500.0,4.4,Fine Dining
"Cafe,Fast Food,Desserts,Beverages", 984| 80 Feet Main Road| Koramangala 4th Block| Bangalore,Third Wave Coffee Roasters,750.0,"4.6,4.2",Café
Bakery, Golden Grand Apartment| Tumkur Road| Yeshwantpur| Bangalore,Grubshack,1000.0,4.4,Bakery
Ice Cream, 14| Opposite Carmel Stars School| 25| Hagadur Main Road| Whitefield| Bangalore,Desi Qulfi,150.0,4.4,Dessert Parlor
North Indian, Delivery Only,Bonfooder,400.0,4.4,
